state,deaths,cases,population
Indiana,1391.0,159619.0,6691878.0
Iowa,156.0,15679.0,3156145.0
Iowa,358.0,39263.0,3156145.0
Kansas,227.0,18576.0,2911510.0
Louisiana,1666.0,22764.0,4659978.0
Maine,47.0,5095.0,1338404.0
Maryland,459.0,33639.0,6042718.0
Mississippi,0.0,0.0,2986530.0
Nebraska,65.0,8076.0,1929268.0
Nevada,367.0,51410.0,3034392.0
New Hampshire,69.0,1789.0,1356458.0
New Jersey,366.0,18696.0,8908520.0
Oklahoma,299.0,35591.0,3943079.0
Oregon,18.0,689.0,4190713.0
Pennsylvania,0.0,0.0,12807060.0
Rhode Island,40.0,2209.0,1057315.0
Texas,3242.0,141787.0,28701845.0
Utah,52.0,20935.0,3161105.0
Virginia,0.0,0.0,8517685.0
Virginia,446.0,32919.0,8517685.0
Washington,1.0,6.0,7535591.0
West Virginia,104.0,8610.0,1805832.0
Wisconsin,165.0,10256.0,5813568.0
Wyoming,0.0,0.0,577737.0
Alabama,630.0,49789.0,4887871.0
Alabama,602.0,38234.0,4887871.0
Alaska,14.0,2457.0,737438.0
California,1910.0,119467.0,39557045.0
California,1774.0,113028.0,39557045.0
Colorado,69.0,2966.0,5695564.0
Colorado,148.0,14094.0,5695564.0
Delaware,64.0,10703.0,967171.0
Florida,3338.0,317952.0,21299325.0
Hawaii,8.0,1194.0,1420491.0
Idaho,0.0,0.0,1754208.0
Indiana,1035.0,80559.0,6691878.0
Kentucky,229.0,4080.0,4468402.0
Maine,0.0,0.0,1338404.0
Maryland,194.0,16476.0,6042718.0
Maryland,494.0,53089.0,6042718.0
Massachusetts,0.0,1.0,6902149.0
Massachusetts,757.0,67556.0,6902149.0
Minnesota,164.0,18160.0,5611179.0
Mississippi,241.0,5878.0,2986530.0
Mississippi,473.0,8708.0,2986530.0
Nebraska,3.0,172.0,1929268.0
New Hampshire,0.0,0.0,1356458.0
New Mexico,145.0,8453.0,2095428.0
North Carolina,760.0,47201.0,10383620.0
Oklahoma,0.0,0.0,3943079.0
Puerto Rico,0.0,0.0,3195153.0
South Carolina,250.0,5766.0,5084127.0
South Carolina,973.0,52617.0,5084127.0
South Dakota,56.0,8880.0,882235.0
Tennessee,700.0,41206.0,6770010.0
Texas,3433.0,297440.0,28701845.0
Vermont,6.0,115.0,626299.0
